"local_id","local_nombre","comuna_nombre","localidad_nombre","local_direccion","funcionamiento_hora_apertura","funcionamiento_hora_cierre","local_telefono","local_lat","local_lng","funcionamiento_dia","fk_region","fk_comuna","fk_localidad"}
{"4388","HOSPITAL FRICKE","VIÑA DEL MAR","PLAN DE VIÑA","ALVARES 1532","07:30:00","17:20:00","+56322577599","-33.0296820235327","-71.5418569909121","viernes","6","80","28"}
{"4389","HOSPITAL VIÑA DEL MAR","VIÑA DEL MAR","PLAN DE VIÑA","LIMACHE 1741","00:00:00","00:00:00","+56322323942","-33.028999094194","-71.5390864391311","viernes","6","80","28"}
{"4390","HOSPITAL QUINTERO","QUINTERO","QUINTERO","ARANGUIZ TUDELA 380","08:30:00","16:00:00","+5632322578926","-32.7791130325688","-71.5311599889317","viernes","6","71","34"}
{"4391","HOSPITAL CARLOS VAN BUREN","VALPARAISO","PLAN VALPARAISO","SAN IGNACIO 725","08:30:00","16:30:00","+56322364421","-33.0502816459223","-71.610959816849","viernes","6","78","2"}
{"4392","HOSPITAL DEL SALVADOR","VALPARAISO","PLAYA ANCHA","SUBIDA CARVALLO 200 ,VALPARAISO","08:00:00","16:00:00","+56322577265","-33.0211212560985","-71.6422611359253","viernes","6","78","29"}
{"4393","HOSPITAL CLAUDIO VICUÑA","SAN ANTONIO","SAN ANTONIO","CARMEN GUERRERO 945","08:00:00","20:00:00","+56352206380","-33.5891929232559","-71.6085601515593","viernes","6","73","19"}
{"4399","FARMACIA AHUMADA","TEMUCO","TEMUCO","BARROS ARANA N°308 L.3","09:00:00","22:00:00","+560","-38.7322646245236","-72.57408633828163","viernes","11","275","294"}
{"4406","ESPOZ","QUINTA NORMAL","QUINTA NORMAL","AV. SAN PABLO 4102, LOCAL 8.","09:00:00","21:00:00","+56","-33.438174","-70.691725","viernes","7","121","140"}
{"4407","PARIS","SANTIAGO","SANTIAGO ESTE","AV. SANTA ROSA 93","10:00:00","20:00:00","+56","-33.444907","-70.645655","viernes","7","130","150"}
{"4408","SALCOBRAND","MAIPU","MAIPU NORTE","AV. LOS PAJARITOS 2624. LOCALES 1-2-3-4","09:00:00","22:00:00","+560224227100","-33.503524","-70.757514","viernes","7","107","126"}
{"4409","AHUMADA","LA REINA","LA REINA","AV. ALCALDE FERNANDO CASTILLO VELASCO 9100, 3° PISO. HOSPITAL MLITAR","08:00:00","20:30:00","+56","-33.451137","-70.53947","viernes","7","100","119"}
{"4410","FARMACIA IGUALDAD","PARRAL","PARRAL","CALLE IGUALDAD Nº640","09:00:00","19:00:00","+56","","","viernes","9","182","201"}
{"4412","FARMACIA DR. SIMI","OVALLE","OVALLE","BENAVENTE 371","09:00:00","19:00:00","+56532622994","-30.6007286","-71.1947596","viernes","5","39","95"}
{"4413","AHUMADA","OVALLE","OVALLE","AVENIDA VICUÑA MACKENNA Nº1","09:00:00","22:00:00","+560226313682","","","viernes","5","39","95"}
{"4414","FARMACIA CRUZ VERDE","TALCA","TALCA PERIMETRAL","2 NORTE Nº3230 LOCAL H (JUMBO NORTE)","09:00:00","21:00:00","+56","","","viernes","9","194","417"}
{"4415","FARMACIA VICTORIA","TALCA","TALCA PERIMETRAL","CALLE 11 ORIENTE Nº2759 VILLA DON ARTURO","09:00:00","20:00:00","+56","","","viernes","9","194","417"}
{"4416","FARMACIA CHANCO","PELLUHUE","PELLUHUE","CALLE ARTURO PRAT Nº560, PELLUHUE","09:30:00","19:30:00","+56","","","viernes","9","184","203"}
{"4417","DEL SUR","LOS LAGOS","LOS LAGOS","BALMACEDA NORTE Nº 91","09:00:00","19:00:00","+56632461210","-39.861972","-72.8154167","viernes","12","287","306"}
{"4418","HOSPITAL SAN FRANCISCO","LLAY LLAY","LLAY - LLAY","SAN FRANCISCO 76; LLAY LLAY, CHILE","08:00:00","17:00:00","+56","-32.8426792170787","-70.9550842637485","viernes","6","60","18"}
{"4419","FARMACIA SALCOBRAND","ANTOFAGASTA","ANTOFAGASTA CENTRO","M. A. MATTA Nº 2001, ANTOFAGASTA,CHILE","09:00:00","22:00:00","+56","-23.653621654618135","-70.40100779570082","viernes","3","12","68"}
{"4420","FARMACIA CRUZ VERDE","ANTOFAGASTA","ANTOFAGASTA CENTRO","MAIPU Nº 210","08:30:00","22:30:00","+56","-23.646963288079878","-70.40134525952453","viernes","3","12","68"}
{"4421","SALCOBRAND","ISLA DE PASCUA","ISLA DE PASCUA","HOTU MATUA S/Nº","09:00:00","21:00:00","+560224223300","-27.1580439449383","-67.43180559846","viernes","6","54","11"}
{"4422","NUEVA NORTE","LANCO","LANCO","NUEVA NORTE Nº 289","09:00:00","21:30:00","+56632441646","-39.4538333","-72.763750","viernes","12","286","305"}
{"4423","FARMACIA KNOP","RANCAGUA","RANCAGUA","INDEPENDENCIA Nº521 LOCAL B","09:00:00","20:00:00","+560","-34.169983","-70.742444","viernes","8","162","181"}
{"4424","FARMACIA KNOP","SANTA CRUZ","SANTA CRUZ","RAFAEL CASANOVA Nº 222","10:00:00","20:00:00","+56","-34.641472","-71.368182","viernes","8","168","187"}
{"4426","FARMA SALUD","LOS ALAMOS","LOS ALAMOS","COLÓN 222 LOCAL 3","09:00:00","21:00:00","+56","-37.625965","-73.4623389","viernes","10","219","238"}
{"4427","6 DE MAYO","LA PINTANA","LA PINTANA","GENERAL BERNARDINO PARADA 728","10:00:00","20:00:00","+560286810421","-33.5777053","-70.65677370000003","viernes","7","99","118"}
{"4429","EL MILAGRO","PUENTE ALTO","PUENTE ALTO SUR","CERRO SAN CRISTóBAL 1735","11:00:00","21:00:00","+56","-33.59482851856035","-70.55867014416293","viernes","7","119","378"}
{"4430","LEMBACH","PROVIDENCIA","PROVIDENCIA","AVENIDA MANUEL MONTT 536","09:00:00","21:00:00","+560223357273","-33.433161408035026","-70.61742922146112","viernes","7","117","136"}
{"4434","LOS ORIENTALES","ÑUÑOA","ÑUÑOA","AVENIDA IRARRAZABAL 4818","00:00:00","00:00:00","+5602222780282","-33.454448","-70.580033","viernes","7","110","129"}
{"4438","AHUMADA","HUECHURABA","HUECHURABA","PEDRO FONTOVA 7810, LOCAL 9","09:00:00","21:00:00","+56","-33.3456092869489","-70.67051897242203","viernes","7","93","112"}
{"4441","GIRENO","MAIPU","MAIPU SUR","AVENIDA GABRIEL GONZALEZ VIDELA 2364","10:00:00","20:00:00","+5602647833","-33.536050375106846","-70.78630799262504","viernes","7","107","377"}
{"4443","DR. AHORRO","INDEPENDENCIA","INDEPENDENCIA","AVENIDA INDEPENDENCIA 976","08:00:00","21:00:00","+56","-33.419709216185545","-70.65604787976224","viernes","7","94","113"}
{"4445","VECINA LARAPINTA","LAMPA","LAMPA","LOS HALCONES 1380","11:00:00","21:00:00","+560227283811","-33.2943637","-70.8675202","viernes","7","101","120"}
{"4446","ECOFARMACIAS","VIÑA DEL MAR","PLAN DE VIÑA","AV. VALPARAISO 684","09:00:00","21:00:00","+56322541695","-33.0249853383823","-71.5528430422612","viernes","6","80","28"}
{"4447","PUNTO FARMACIA","VIÑA DEL MAR","PLAN DE VIÑA","14 NORTE 571 PISO 1 PROSALUD","09:00:00","19:00:00","+56322685177","-33.0087846875055","-71.5505245555595","viernes","6","80","28"}
{"4448","CRUZ VERDE","VALPARAISO","PLACERES","AV. MANUEL ANTONIO MATTA 2460 LOCAL 2,VALPARAISO","09:00:00","21:00:00","+5626944785","-33.049578329354","-71.5758543718959","viernes","6","78","426"}
{"4449","FARMACIA DR. SIMI","CONCEPCION","LORENZO ARENAS","AVENIDA 21 DE MAYO 3225 LOCAL 258","09:00:00","20:00:00","+5641","-36.808391989","-73.0781715677","viernes","10","210","367"}
{"4451","CELIN","ARICA","ARICA - PERIFERIA","GUILLERMO THOMAS 018; ARICA, CHILE","10:00:00","21:00:00","+565864054400","-18.495019928393038","-70.30462191398203","viernes","1","1","424"}
{"4452","SALCOBRAND","LOS ANGELES","LOS ANGELES - LOCALIDAD 1","ALCáZAR 635 LOCAL 1","09:00:00","22:00:00","+560224223300","-37.4796454","-72.36287010000001","viernes","10","220","239"}
{"4455","SALCOBRAND","COPIAPO","COPIAPO","CHACABUCO N° 273-275","09:00:00","22:00:00","+5651","","","viernes","4","24","80"}
{"4456","FARMACIAS CAPSULA FARMA","ARICA","ARICA - PERIFERIA","AV. TUCAPEL Nº 2012","17:00:00","00:00:00","+560","-18.481463176249374","-70.29560486931155","viernes","1","1","424"}
{"4458","TODO FARMA","VALPARAISO","ESPERANZA","BARROS ARANA 576 LOCAL3,CERRO ESPERANZA","10:30:00","20:00:00","+56968342126","-33.0340406","-71.58382979999999","viernes","6","78","427"}
{"4459","FARMACIA HOSPITAL SAN MARTIN DE QUILLOTA","QUILLOTA","QUILLOTA","CONCEPCIÓN Nº 1050, QUILLOTA","08:00:00","17:00:00","+56332298000","-32.8798962662957","-71.257616308074","viernes","6","69","32"}
